Grady - all zeros,(100, 100),0.5,0.01039,0.01028,0.00061
Grady - all ones,(100, 100),0.5,0.00679,0.00681,0.00027
Grady - total fill percentage,(100, 100),0.5,0.00785,0.00797,0.00044
Swap,(100, 100),0.5,0.05134,0.05149,0.00118
Trial Swap,(100, 100),0.5,0.20188,0.20186,0.00206
Curveball,(100, 100),0.5,0.02233,0.02234,0.00017
Cupy,(100, 100),0.5,0.00684,0.00681,0.00024
Grady - fill and shuffle,(100, 100),0.6,0.00703,0.00699,0.00022
Grady - min col or row,(100, 100),0.6,0.00736,0.00756,0.00051
Grady - max col or row,(100, 100),0.6,0.00725,0.00726,0.00038
Grady - all zeros,(100, 100),0.6,0.01154,0.01167,0.00094
Grady - all ones,(100, 100),0.6,0.00672,0.00676,0.00021
Grady - total fill percentage,(100, 100),0.6,0.00805,0.00798,0.00051
Swap,(100, 100),0.6,0.06574,0.06625,0.00168
Trial Swap,(100, 100),0.6,0.16636,0.16646,0.00126
Curveball,(100, 100),0.6,0.02288,0.02282,0.00019
Cupy,(100, 100),0.6,0.00669,0.00662,0.00024
Grady - fill and shuffle,(100, 100),0.7,0.00700,0.00698,0.00017
Grady - min col or row,(100, 100),0.7,0.00745,0.00760,0.00053
Grady - max col or row,(100, 100),0.7,0.00752,0.00756,0.00031
Grady - all zeros,(100, 100),0.7,0.01256,0.01275,0.00094
Grady - all ones,(100, 100),0.7,0.00701,0.00700,0.00032
Grady - total fill percentage,(100, 100),0.7,0.00840,0.00850,0.00040
Swap,(100, 100),0.7,0.09818,0.09807,0.00232
Trial Swap,(100, 100),0.7,0.13568,0.13550,0.00089
Curveball,(100, 100),0.7,0.02207,0.02210,0.00014
Cupy,(100, 100),0.7,0.00707,0.00700,0.00036
Grady - fill and shuffle,(100, 100),0.8,0.00698,0.00703,0.00037
Grady - min col or row,(100, 100),0.8,0.00738,0.00742,0.00038
Grady - max col or row,(100, 100),0.8,0.00731,0.00727,0.00039
Grady - all zeros,(100, 100),0.8,0.01267,0.01264,0.00075
Grady - all ones,(100, 100),0.8,0.00680,0.00673,0.00031
Grady - total fill percentage,(100, 100),0.8,0.00834,0.00835,0.00051
Swap,(100, 100),0.8,0.17649,0.17620,0.00710
Trial Swap,(100, 100),0.8,0.11268,0.11291,0.00110
Curveball,(100, 100),0.8,0.02042,0.02040,0.00016
Cupy,(100, 100),0.8,0.00699,0.00686,0.00049
Grady - fill and shuffle,(100, 100),0.9,0.00719,0.00718,0.00020
Grady - min col or row,(100, 100),0.9,0.00811,0.00813,0.00039
Grady - max col or row,(100, 100),0.9,0.00770,0.00787,0.00040
Grady - all zeros,(100, 100),0.9,0.01211,0.01198,0.00076
Grady - all ones,(100, 100),0.9,0.00713,0.00721,0.00023
Grady - total fill percentage,(100, 100),0.9,0.00870,0.00872,0.00044
Swap,(100, 100),0.9,0.59982,0.59935,0.01808
Trial Swap,(100, 100),0.9,0.09181,0.09192,0.00094
Curveball,(100, 100),0.9,0.01735,0.01734,0.00017
Cupy,(100, 100),0.9,0.00721,0.00721,0.00027
Grady - fill and shuffle,(1000, 1000),0.1,0.14037,0.14023,0.00078
Grady - min col or row,(1000, 1000),0.1,0.15455,0.15451,0.00250
Grady - max col or row,(1000, 1000),0.1,0.14953,0.14977,0.00147
Grady - all zeros,(1000, 1000),0.1,0.23575,0.23642,0.00297
Grady - all ones,(1000, 1000),0.1,0.13852,0.13855,0.00111
Grady - total fill percentage,(1000, 1000),0.1,0.15235,0.15164,0.00235
Swap,(1000, 1000),0.1,6.42702,6.43004,0.05318
Trial Swap,(1000, 1000),0.1,82.34956,82.42624,0.22902
Curveball,(1000, 1000),0.1,0.64382,0.64366,0.00165
Cupy,(1000, 1000),0.1,0.13990,0.13966,0.00091
Grady - fill and shuffle,(1000, 1000),0.2,0.14173,0.14179,0.00191
Grady - min col or row,(1000, 1000),0.2,0.16291,0.16201,0.00307
Grady - max col or row,(1000, 1000),0.2,0.15535,0.15457,0.00221
Grady - all zeros,(1000, 1000),0.2,0.28071,0.27924,0.00407
Grady - all ones,(1000, 1000),0.2,0.13998,0.13945,0.00206
Grady - total fill percentage,(1000, 1000),0.2,0.15913,0.15829,0.00338
Swap,(1000, 1000),0.2,4.44289,4.44115,0.01980
Trial Swap,(1000, 1000),0.2,45.08699,45.05510,0.31583
Curveball,(1000, 1000),0.2,1.18085,1.17944,0.00550
Cupy,(1000, 1000),0.2,0.14802,0.14721,0.00580
Grady - fill and shuffle,(1000, 1000),0.3,0.14089,0.14114,0.00154
Grady - min col or row,(1000, 1000),0.3,0.16711,0.16675,0.00241
Grady - max col or row,(1000, 1000),0.3,0.15795,0.15799,0.00176
Grady - all zeros,(1000, 1000),0.3,0.33012,0.32849,0.00647
Grady - all ones,(1000, 1000),0.3,0.13990,0.14029,0.00131
Grady - total fill percentage,(1000, 1000),0.3,0.16209,0.16219,0.00475
Swap,(1000, 1000),0.3,4.12236,4.12313,0.01964
Trial Swap,(1000, 1000),0.3,32.00276,31.98399,0.11462
Curveball,(1000, 1000),0.3,1.60297,1.60186,0.00299
Cupy,(1000, 1000),0.3,0.14708,0.14599,0.00386
Grady - fill and shuffle,(1000, 1000),0.4,0.14114,0.14146,0.00095
Grady - min col or row,(1000, 1000),0.4,0.16614,0.16668,0.00240
Grady - max col or row,(1000, 1000),0.4,0.15923,0.15938,0.00230
Grady - all zeros,(1000, 1000),0.4,0.38906,0.38697,0.00923
Grady - all ones,(1000, 1000),0.4,0.13967,0.13981,0.00091
Grady - total fill percentage,(1000, 1000),0.4,0.16445,0.16496,0.00253
Swap,(1000, 1000),0.4,4.38532,4.37984,0.02565
Trial Swap,(1000, 1000),0.4,24.96935,24.98414,0.07397
Curveball,(1000, 1000),0.4,1.94846,1.94530,0.01251
Cupy,(1000, 1000),0.4,0.15099,0.15179,0.00288
Grady - fill and shuffle,(1000, 1000),0.5,0.14000,0.14045,0.00178
Grady - min col or row,(1000, 1000),0.5,0.16967,0.17084,0.00481
Grady - max col or row,(1000, 1000),0.5,0.15901,0.15910,0.00274
Grady - all zeros,(1000, 1000),0.5,0.45536,0.45552,0.00865
Grady - all ones,(1000, 1000),0.5,0.13894,0.13819,0.00181
Grady - total fill percentage,(1000, 1000),0.5,0.16620,0.16587,0.00297
Swap,(1000, 1000),0.5,5.12450,5.12664,0.02012
Trial Swap,(1000, 1000),0.5,20.25912,20.25931,0.05388
Curveball,(1000, 1000),0.5,2.16311,2.15746,0.01802
Cupy,(1000, 1000),0.5,0.15140,0.15155,0.00237
Grady - fill and shuffle,(1000, 1000),0.6,0.13840,0.13873,0.00131
